# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
S000004911	unplaced-scaffold	na	na	JAEOAB010004899.1	=	NW_024877597.1	Primary Assembly	2510	na
S000004912	unplaced-scaffold	na	na	JAEOAB010004900.1	=	NW_024877598.1	Primary Assembly	1901	na
S000004913	unplaced-scaffold	na	na	JAEOAB010004901.1	=	NW_024877599.1	Primary Assembly	1882	na
S000004914	unplaced-scaffold	na	na	JAEOAB010004902.1	=	NW_024877600.1	Primary Assembly	1968	na
S000004915	unplaced-scaffold	na	na	JAEOAB010004903.1	=	NW_024877601.1	Primary Assembly	2474	na
S000004916	unplaced-scaffold	na	na	JAEOAB010004904.1	=	NW_024877602.1	Primary Assembly	1602	na
S000004917	unplaced-scaffold	na	na	JAEOAB010004905.1	=	NW_024877603.1	Primary Assembly	3556	na
S000004918	unplaced-scaffold	na	na	JAEOAB010004906.1	=	NW_024877604.1	Primary Assembly	2189	na
S000004919	unplaced-scaffold	na	na	JAEOAB010004907.1	=	NW_024877605.1	Primary Assembly	1866	na
S000004920	unplaced-scaffold	na	na	JAEOAB010004908.1	=	NW_024877606.1	Primary Assembly	1733	na
S000004921	unplaced-scaffold	na	na	JAEOAB010004909.1	=	NW_024877607.1	Primary Assembly	3608	na
S000004922	unplaced-scaffold	na	na	JAEOAB010004910.1	=	NW_024877608.1	Primary Assembly	1264	na
S000004923	unplaced-scaffold	na	na	JAEOAB010004911.1	=	NW_024877609.1	Primary Assembly	2061	na
S000004924	unplaced-scaffold	na	na	JAEOAB010004912.1	=	NW_024877610.1	Primary Assembly	1933	na
S000004925	unplaced-scaffold	na	na	JAEOAB010004913.1	=	NW_024877611.1	Primary Assembly	1929	na
S000004926	unplaced-scaffold	na	na	JAEOAB010004914.1	=	NW_024877612.1	Primary Assembly	1812	na
S000004927	unplaced-scaffold	na	na	JAEOAB010004915.1	=	NW_024877613.1	Primary Assembly	1894	na
S000004928	unplaced-scaffold	na	na	JAEOAB010004916.1	=	NW_024877614.1	Primary Assembly	1855	na
S000004929	unplaced-scaffold	na	na	JAEOAB010004917.1	=	NW_024877615.1	Primary Assembly	2174	na
S000004930	unplaced-scaffold	na	na	JAEOAB010004918.1	=	NW_024877616.1	Primary Assembly	1712	na
S000004931	unplaced-scaffold	na	na	JAEOAB010004919.1	=	NW_024877617.1	Primary Assembly	2037	na
S000004932	unplaced-scaffold	na	na	JAEOAB010004920.1	=	NW_024877618.1	Primary Assembly	1669	na
S000004933	unplaced-scaffold	na	na	JAEOAB010004921.1	=	NW_024877619.1	Primary Assembly	1889	na
S000004934	unplaced-scaffold	na	na	JAEOAB010004922.1	=	NW_024877620.1	Primary Assembly	1698	na
S000004935	unplaced-scaffold	na	na	JAEOAB010004923.1	=	NW_024877621.1	Primary Assembly	1422	na
S000004936	unplaced-scaffold	na	na	JAEOAB010004924.1	=	NW_024877622.1	Primary Assembly	1794	na
S000004937	unplaced-scaffold	na	na	JAEOAB010004925.1	=	NW_024877623.1	Primary Assembly	1952	na
S000004938	unplaced-scaffold	na	na	JAEOAB010004926.1	=	NW_024877624.1	Primary Assembly	1936	na
S000004939	unplaced-scaffold	na	na	JAEOAB010004927.1	=	NW_024877625.1	Primary Assembly	1679	na
S000004940	unplaced-scaffold	na	na	JAEOAB010004928.1	=	NW_024877626.1	Primary Assembly	2954	na
S000004941	unplaced-scaffold	na	na	JAEOAB010004929.1	=	NW_024877627.1	Primary Assembly	6618	na
S000004942	unplaced-scaffold	na	na	JAEOAB010004930.1	=	NW_024877628.1	Primary Assembly	2009	na
S000004943	unplaced-scaffold	na	na	JAEOAB010004931.1	=	NW_024877629.1	Primary Assembly	1922	na
S000004944	unplaced-scaffold	na	na	JAEOAB010004932.1	=	NW_024877630.1	Primary Assembly	1498	na
S000004945	unplaced-scaffold	na	na	JAEOAB010004933.1	=	NW_024877631.1	Primary Assembly	2085	na
S000004946	unplaced-scaffold	na	na	JAEOAB010004934.1	=	NW_024877632.1	Primary Assembly	1968	na
S000004947	unplaced-scaffold	na	na	JAEOAB010004935.1	=	NW_024877633.1	Primary Assembly	1939	na
S000004948	unplaced-scaffold	na	na	JAEOAB010004936.1	=	NW_024877634.1	Primary Assembly	1791	na
S000004949	unplaced-scaffold	na	na	JAEOAB010004937.1	=	NW_024877635.1	Primary Assembly	1781	na
S000004950	unplaced-scaffold	na	na	JAEOAB010004938.1	=	NW_024877636.1	Primary Assembly	1926	na
S000004951	unplaced-scaffold	na	na	JAEOAB010004939.1	=	NW_024877637.1	Primary Assembly	4864	na
S000004952	unplaced-scaffold	na	na	JAEOAB010004940.1	=	NW_024877638.1	Primary Assembly	3319	na
S000004953	unplaced-scaffold	na	na	JAEOAB010004941.1	=	NW_024877639.1	Primary Assembly	2487	na
S000004954	unplaced-scaffold	na	na	JAEOAB010004942.1	=	NW_024877640.1	Primary Assembly	1932	na
S000004955	unplaced-scaffold	na	na	JAEOAB010004943.1	=	NW_024877641.1	Primary Assembly	3650	na
S000004956	unplaced-scaffold	na	na	JAEOAB010004944.1	=	NW_024877642.1	Primary Assembly	1914	na
S000004957	unplaced-scaffold	na	na	JAEOAB010004945.1	=	NW_024877643.1	Primary Assembly	2129	na
S000004958	unplaced-scaffold	na	na	JAEOAB010004946.1	=	NW_024877644.1	Primary Assembly	1837	na
S000004959	unplaced-scaffold	na	na	JAEOAB010004947.1	=	NW_024877645.1	Primary Assembly	1866	na
S000004960	unplaced-scaffold	na	na	JAEOAB010004948.1	=	NW_024877646.1	Primary Assembly	2032	na
S000004961	unplaced-scaffold	na	na	JAEOAB010004949.1	=	NW_024877647.1	Primary Assembly	681	na
S000004962	unplaced-scaffold	na	na	JAEOAB010004950.1	=	NW_024877648.1	Primary Assembly	646	na
S000004963	unplaced-scaffold	na	na	JAEOAB010004951.1	=	NW_024877649.1	Primary Assembly	1681	na
S000004964	unplaced-scaffold	na	na	JAEOAB010004952.1	=	NW_024877650.1	Primary Assembly	1892	na
S000004965	unplaced-scaffold	na	na	JAEOAB010004953.1	=	NW_024877651.1	Primary Assembly	2028	na
S000004966	unplaced-scaffold	na	na	JAEOAB010004954.1	=	NW_024877652.1	Primary Assembly	1717	na
S000004967	unplaced-scaffold	na	na	JAEOAB010004955.1	=	NW_024877653.1	Primary Assembly	1739	na
S000004968	unplaced-scaffold	na	na	JAEOAB010004956.1	=	NW_024877654.1	Primary Assembly	1186	na
S000004969	unplaced-scaffold	na	na	JAEOAB010004957.1	=	NW_024877655.1	Primary Assembly	1694	na
S000004970	unplaced-scaffold	na	na	JAEOAB010004958.1	=	NW_024877656.1	Primary Assembly	1873	na
S000004971	unplaced-scaffold	na	na	JAEOAB010004959.1	=	NW_024877657.1	Primary Assembly	1656	na
S000004972	unplaced-scaffold	na	na	JAEOAB010004960.1	=	NW_024877658.1	Primary Assembly	1579	na
S000004973	unplaced-scaffold	na	na	JAEOAB010004961.1	=	NW_024877659.1	Primary Assembly	1801	na
S000004974	unplaced-scaffold	na	na	JAEOAB010004962.1	=	NW_024877660.1	Primary Assembly	1962	na
S000004975	unplaced-scaffold	na	na	JAEOAB010004963.1	=	NW_024877661.1	Primary Assembly	1861	na
S000004976	unplaced-scaffold	na	na	JAEOAB010004964.1	=	NW_024877662.1	Primary Assembly	1810	na
S000004977	unplaced-scaffold	na	na	JAEOAB010004965.1	=	NW_024877663.1	Primary Assembly	1967	na
S000004978	unplaced-scaffold	na	na	JAEOAB010004966.1	=	NW_024877664.1	Primary Assembly	3234	na
S000004979	unplaced-scaffold	na	na	JAEOAB010004967.1	=	NW_024877665.1	Primary Assembly	1856	na
S000004980	unplaced-scaffold	na	na	JAEOAB010004968.1	=	NW_024877666.1	Primary Assembly	1948	na
S000004981	unplaced-scaffold	na	na	JAEOAB010004969.1	=	NW_024877667.1	Primary Assembly	1930	na
S000004982	unplaced-scaffold	na	na	JAEOAB010004970.1	=	NW_024877668.1	Primary Assembly	1462	na
S000004983	unplaced-scaffold	na	na	JAEOAB010004971.1	=	NW_024877669.1	Primary Assembly	1715	na
S000004985	unplaced-scaffold	na	na	JAEOAB010004973.1	=	NW_024877670.1	Primary Assembly	1228	na
S000004986	unplaced-scaffold	na	na	JAEOAB010004974.1	=	NW_024877671.1	Primary Assembly	2688	na
S000004987	unplaced-scaffold	na	na	JAEOAB010004975.1	=	NW_024877672.1	Primary Assembly	2318	na
S000004988	unplaced-scaffold	na	na	JAEOAB010004976.1	=	NW_024877673.1	Primary Assembly	2118	na
S000004989	unplaced-scaffold	na	na	JAEOAB010004977.1	=	NW_024877674.1	Primary Assembly	1987	na
S000004990	unplaced-scaffold	na	na	JAEOAB010004978.1	=	NW_024877675.1	Primary Assembly	2208	na
S000004991	unplaced-scaffold	na	na	JAEOAB010004979.1	=	NW_024877676.1	Primary Assembly	1740	na
S000004992	unplaced-scaffold	na	na	JAEOAB010004980.1	=	NW_024877677.1	Primary Assembly	1983	na
S000004993	unplaced-scaffold	na	na	JAEOAB010004981.1	=	NW_024877678.1	Primary Assembly	1852	na
S000004994	unplaced-scaffold	na	na	JAEOAB010004982.1	=	NW_024877679.1	Primary Assembly	1835	na
S000004995	unplaced-scaffold	na	na	JAEOAB010004983.1	=	NW_024877680.1	Primary Assembly	1880	na
S000004996	unplaced-scaffold	na	na	JAEOAB010004984.1	=	NW_024877681.1	Primary Assembly	1980	na
S000004997	unplaced-scaffold	na	na	JAEOAB010004985.1	=	NW_024877682.1	Primary Assembly	1979	na
S000004998	unplaced-scaffold	na	na	JAEOAB010004986.1	=	NW_024877683.1	Primary Assembly	1769	na
S000004999	unplaced-scaffold	na	na	JAEOAB010004987.1	=	NW_024877684.1	Primary Assembly	1901	na
S000005000	unplaced-scaffold	na	na	JAEOAB010004988.1	=	NW_024877685.1	Primary Assembly	1873	na
S000005001	unplaced-scaffold	na	na	JAEOAB010004989.1	=	NW_024877686.1	Primary Assembly	3149	na
S000005002	unplaced-scaffold	na	na	JAEOAB010004990.1	=	NW_024877687.1	Primary Assembly	2352	na
S000005003	unplaced-scaffold	na	na	JAEOAB010004991.1	=	NW_024877688.1	Primary Assembly	1726	na
S000005004	unplaced-scaffold	na	na	JAEOAB010004992.1	=	NW_024877689.1	Primary Assembly	2095	na
S000005005	unplaced-scaffold	na	na	JAEOAB010004993.1	=	NW_024877690.1	Primary Assembly	1852	na
S000005006	unplaced-scaffold	na	na	JAEOAB010004994.1	=	NW_024877691.1	Primary Assembly	1937	na
S000005007	unplaced-scaffold	na	na	JAEOAB010004995.1	=	NW_024877692.1	Primary Assembly	1975	na
S000005008	unplaced-scaffold	na	na	JAEOAB010004996.1	=	NW_024877693.1	Primary Assembly	2066	na
S000005009	unplaced-scaffold	na	na	JAEOAB010004997.1	=	NW_024877694.1	Primary Assembly	3630	na
S000005010	unplaced-scaffold	na	na	JAEOAB010004998.1	=	NW_024877695.1	Primary Assembly	2087	na
S000005011	unplaced-scaffold	na	na	JAEOAB010004999.1	=	NW_024877696.1	Primary Assembly	1792	na
S000005012	unplaced-scaffold	na	na	JAEOAB010005000.1	=	NW_024877697.1	Primary Assembly	2012	na
S000005013	unplaced-scaffold	na	na	JAEOAB010005001.1	=	NW_024877698.1	Primary Assembly	1936	na
S000005014	unplaced-scaffold	na	na	JAEOAB010005002.1	=	NW_024877699.1	Primary Assembly	3009	na
S000005015	unplaced-scaffold	na	na	JAEOAB010005003.1	=	NW_024877700.1	Primary Assembly	1662	na
S000005016	unplaced-scaffold	na	na	JAEOAB010005004.1	=	NW_024877701.1	Primary Assembly	1678	na
S000005017	unplaced-scaffold	na	na	JAEOAB010005005.1	=	NW_024877702.1	Primary Assembly	1847	na
S000005018	unplaced-scaffold	na	na	JAEOAB010005006.1	=	NW_024877703.1	Primary Assembly	1992	na
S000005019	unplaced-scaffold	na	na	JAEOAB010005007.1	=	NW_024877704.1	Primary Assembly	1977	na
S000005020	unplaced-scaffold	na	na	JAEOAB010005008.1	=	NW_024877705.1	Primary Assembly	1722	na
S000005021	unplaced-scaffold	na	na	JAEOAB010005009.1	=	NW_024877706.1	Primary Assembly	1885	na
S000005022	unplaced-scaffold	na	na	JAEOAB010005010.1	=	NW_024877707.1	Primary Assembly	6188	na
S000005023	unplaced-scaffold	na	na	JAEOAB010005011.1	=	NW_024877708.1	Primary Assembly	2052	na
S000005024	unplaced-scaffold	na	na	JAEOAB010005012.1	=	NW_024877709.1	Primary Assembly	2303	na
S000005025	unplaced-scaffold	na	na	JAEOAB010005013.1	=	NW_024877710.1	Primary Assembly	1874	na
S000005026	unplaced-scaffold	na	na	JAEOAB010005014.1	=	NW_024877711.1	Primary Assembly	1829	na
S000005027	unplaced-scaffold	na	na	JAEOAB010005015.1	=	NW_024877712.1	Primary Assembly	1544	na
S000005028	unplaced-scaffold	na	na	JAEOAB010005016.1	=	NW_024877713.1	Primary Assembly	1783	na
S000005029	unplaced-scaffold	na	na	JAEOAB010005017.1	=	NW_024877714.1	Primary Assembly	1849	na
S000005030	unplaced-scaffold	na	na	JAEOAB010005018.1	=	NW_024877715.1	Primary Assembly	1887	na
S000005031	unplaced-scaffold	na	na	JAEOAB010005019.1	=	NW_024877716.1	Primary Assembly	1438	na
S000005032	unplaced-scaffold	na	na	JAEOAB010005020.1	=	NW_024877717.1	Primary Assembly	2094	na
S000005033	unplaced-scaffold	na	na	JAEOAB010005021.1	=	NW_024877718.1	Primary Assembly	1978	na
S000005034	unplaced-scaffold	na	na	JAEOAB010005022.1	=	NW_024877719.1	Primary Assembly	1939	na
S000005035	unplaced-scaffold	na	na	JAEOAB010005023.1	=	NW_024877720.1	Primary Assembly	1868	na
S000005036	unplaced-scaffold	na	na	JAEOAB010005024.1	=	NW_024877721.1	Primary Assembly	1989	na
S000005037	unplaced-scaffold	na	na	JAEOAB010005025.1	=	NW_024877722.1	Primary Assembly	1879	na
S000005038	unplaced-scaffold	na	na	JAEOAB010005026.1	=	NW_024877723.1	Primary Assembly	1765	na
S000005039	unplaced-scaffold	na	na	JAEOAB010005027.1	=	NW_024877724.1	Primary Assembly	1870	na
S000005040	unplaced-scaffold	na	na	JAEOAB010005028.1	=	NW_024877725.1	Primary Assembly	1666	na
S000005041	unplaced-scaffold	na	na	JAEOAB010005029.1	=	NW_024877726.1	Primary Assembly	1914	na
S000005042	unplaced-scaffold	na	na	JAEOAB010005030.1	=	NW_024877727.1	Primary Assembly	2858	na
S000005043	unplaced-scaffold	na	na	JAEOAB010005031.1	=	NW_024877728.1	Primary Assembly	3635	na
S000005044	unplaced-scaffold	na	na	JAEOAB010005032.1	=	NW_024877729.1	Primary Assembly	1440	na
S000005045	unplaced-scaffold	na	na	JAEOAB010005033.1	=	NW_024877730.1	Primary Assembly	1799	na
S000005046	unplaced-scaffold	na	na	JAEOAB010005034.1	=	NW_024877731.1	Primary Assembly	1823	na
S000005047	unplaced-scaffold	na	na	JAEOAB010005035.1	=	NW_024877732.1	Primary Assembly	1901	na
S000005048	unplaced-scaffold	na	na	JAEOAB010005036.1	=	NW_024877733.1	Primary Assembly	1803	na
S000005049	unplaced-scaffold	na	na	JAEOAB010005037.1	=	NW_024877734.1	Primary Assembly	1732	na
S000005050	unplaced-scaffold	na	na	JAEOAB010005038.1	=	NW_024877735.1	Primary Assembly	2072	na
S000005051	unplaced-scaffold	na	na	JAEOAB010005039.1	=	NW_024877736.1	Primary Assembly	2178	na
S000005052	unplaced-scaffold	na	na	JAEOAB010005040.1	=	NW_024877737.1	Primary Assembly	1883	na
S000005053	unplaced-scaffold	na	na	JAEOAB010005041.1	=	NW_024877738.1	Primary Assembly	1275	na
S000005054	unplaced-scaffold	na	na	JAEOAB010005042.1	=	NW_024877739.1	Primary Assembly	2387	na
S000005055	unplaced-scaffold	na	na	JAEOAB010005043.1	=	NW_024877740.1	Primary Assembly	1100	na
S000005056	unplaced-scaffold	na	na	JAEOAB010005044.1	=	NW_024877741.1	Primary Assembly	1694	na
S000005057	unplaced-scaffold	na	na	JAEOAB010005045.1	=	NW_024877742.1	Primary Assembly	2008	na
S000005058	unplaced-scaffold	na	na	JAEOAB010005046.1	=	NW_024877743.1	Primary Assembly	2021	na
S000005059	unplaced-scaffold	na	na	JAEOAB010005047.1	=	NW_024877744.1	Primary Assembly	1511	na
S000005060	unplaced-scaffold	na	na	JAEOAB010005048.1	=	NW_024877745.1	Primary Assembly	1910	na
S000005061	unplaced-scaffold	na	na	JAEOAB010005049.1	=	NW_024877746.1	Primary Assembly	3749	na
S000005062	unplaced-scaffold	na	na	JAEOAB010005050.1	=	NW_024877747.1	Primary Assembly	1102	na
S000005063	unplaced-scaffold	na	na	JAEOAB010005051.1	=	NW_024877748.1	Primary Assembly	1754	na
S000005064	unplaced-scaffold	na	na	JAEOAB010005052.1	=	NW_024877749.1	Primary Assembly	882	na
S000005065	unplaced-scaffold	na	na	JAEOAB010005053.1	=	NW_024877750.1	Primary Assembly	4155	na
S000005066	unplaced-scaffold	na	na	JAEOAB010005054.1	=	NW_024877751.1	Primary Assembly	1477	na
S000005067	unplaced-scaffold	na	na	JAEOAB010005055.1	=	NW_024877752.1	Primary Assembly	3415	na
S000005068	unplaced-scaffold	na	na	JAEOAB010005056.1	=	NW_024877753.1	Primary Assembly	1831	na
S000005069	unplaced-scaffold	na	na	JAEOAB010005057.1	=	NW_024877754.1	Primary Assembly	1725	na
S000005070	unplaced-scaffold	na	na	JAEOAB010005058.1	=	NW_024877755.1	Primary Assembly	1850	na
S000005071	unplaced-scaffold	na	na	JAEOAB010005059.1	=	NW_024877756.1	Primary Assembly	1616	na
S000005072	unplaced-scaffold	na	na	JAEOAB010005060.1	=	NW_024877757.1	Primary Assembly	1804	na
S000005073	unplaced-scaffold	na	na	JAEOAB010005061.1	=	NW_024877758.1	Primary Assembly	2358	na
S000005074	unplaced-scaffold	na	na	JAEOAB010005062.1	=	NW_024877759.1	Primary Assembly	1917	na
S000005075	unplaced-scaffold	na	na	JAEOAB010005063.1	=	NW_024877760.1	Primary Assembly	1785	na
S000005076	unplaced-scaffold	na	na	JAEOAB010005064.1	=	NW_024877761.1	Primary Assembly	1814	na
S000005077	unplaced-scaffold	na	na	JAEOAB010005065.1	=	NW_024877762.1	Primary Assembly	2028	na
S000005078	unplaced-scaffold	na	na	JAEOAB010005066.1	=	NW_024877763.1	Primary Assembly	2103	na
S000005079	unplaced-scaffold	na	na	JAEOAB010005067.1	=	NW_024877764.1	Primary Assembly	2293	na
S000005080	unplaced-scaffold	na	na	JAEOAB010005068.1	=	NW_024877765.1	Primary Assembly	1914	na
S000005081	unplaced-scaffold	na	na	JAEOAB010005069.1	=	NW_024877766.1	Primary Assembly	1857	na
S000005082	unplaced-scaffold	na	na	JAEOAB010005070.1	=	NW_024877767.1	Primary Assembly	2373	na
S000005083	unplaced-scaffold	na	na	JAEOAB010005071.1	=	NW_024877768.1	Primary Assembly	2098	na
S000005084	unplaced-scaffold	na	na	JAEOAB010005072.1	=	NW_024877769.1	Primary Assembly	1859	na
S000005085	unplaced-scaffold	na	na	JAEOAB010005073.1	=	NW_024877770.1	Primary Assembly	2316	na
S000005086	unplaced-scaffold	na	na	JAEOAB010005074.1	=	NW_024877771.1	Primary Assembly	2024	na
S000005087	unplaced-scaffold	na	na	JAEOAB010005075.1	=	NW_024877772.1	Primary Assembly	1857	na
S000005088	unplaced-scaffold	na	na	JAEOAB010005076.1	=	NW_024877773.1	Primary Assembly	1815	na
S000005089	unplaced-scaffold	na	na	JAEOAB010005077.1	=	NW_024877774.1	Primary Assembly	2000	na
S000005090	unplaced-scaffold	na	na	JAEOAB010005078.1	=	NW_024877775.1	Primary Assembly	1846	na
S000005091	unplaced-scaffold	na	na	JAEOAB010005079.1	=	NW_024877776.1	Primary Assembly	1929	na
S000005092	unplaced-scaffold	na	na	JAEOAB010005080.1	=	NW_024877777.1	Primary Assembly	4701	na
S000005093	unplaced-scaffold	na	na	JAEOAB010005081.1	=	NW_024877778.1	Primary Assembly	2047	na
S000005094	unplaced-scaffold	na	na	JAEOAB010005082.1	=	NW_024877779.1	Primary Assembly	1581	na
S000005095	unplaced-scaffold	na	na	JAEOAB010005083.1	=	NW_024877780.1	Primary Assembly	1862	na
S000005096	unplaced-scaffold	na	na	JAEOAB010005084.1	=	NW_024877781.1	Primary Assembly	2879	na
S000005097	unplaced-scaffold	na	na	JAEOAB010005085.1	=	NW_024877782.1	Primary Assembly	4263	na
S000005098	unplaced-scaffold	na	na	JAEOAB010005086.1	=	NW_024877783.1	Primary Assembly	1919	na
S000005099	unplaced-scaffold	na	na	JAEOAB010005087.1	=	NW_024877784.1	Primary Assembly	2039	na
S000005100	unplaced-scaffold	na	na	JAEOAB010005088.1	=	NW_024877785.1	Primary Assembly	2015	na
S000005101	unplaced-scaffold	na	na	JAEOAB010005089.1	=	NW_024877786.1	Primary Assembly	1359	na
S000005102	unplaced-scaffold	na	na	JAEOAB010005090.1	=	NW_024877787.1	Primary Assembly	1863	na
S000005103	unplaced-scaffold	na	na	JAEOAB010005091.1	=	NW_024877788.1	Primary Assembly	1508	na
S000005104	unplaced-scaffold	na	na	JAEOAB010005092.1	=	NW_024877789.1	Primary Assembly	1637	na
S000005105	unplaced-scaffold	na	na	JAEOAB010005093.1	=	NW_024877790.1	Primary Assembly	1976	na
S000005106	unplaced-scaffold	na	na	JAEOAB010005094.1	=	NW_024877791.1	Primary Assembly	1868	na
S000005107	unplaced-scaffold	na	na	JAEOAB010005095.1	=	NW_024877792.1	Primary Assembly	2053	na
S000005108	unplaced-scaffold	na	na	JAEOAB010005096.1	=	NW_024877793.1	Primary Assembly	1812	na
S000005109	unplaced-scaffold	na	na	JAEOAB010005097.1	=	NW_024877794.1	Primary Assembly	1997	na
S000005110	unplaced-scaffold	na	na	JAEOAB010005098.1	=	NW_024877795.1	Primary Assembly	1985	na
S000005111	unplaced-scaffold	na	na	JAEOAB010005099.1	=	NW_024877796.1	Primary Assembly	1861	na
S000005112	unplaced-scaffold	na	na	JAEOAB010005100.1	=	NW_024877797.1	Primary Assembly	1711	na
S000005113	unplaced-scaffold	na	na	JAEOAB010005101.1	=	NW_024877798.1	Primary Assembly	1911	na
S000005114	unplaced-scaffold	na	na	JAEOAB010005102.1	=	NW_024877799.1	Primary Assembly	2325	na
S000005115	unplaced-scaffold	na	na	JAEOAB010005103.1	=	NW_024877800.1	Primary Assembly	1916	na
S000005116	unplaced-scaffold	na	na	JAEOAB010005104.1	=	NW_024877801.1	Primary Assembly	2265	na
S000005117	unplaced-scaffold	na	na	JAEOAB010005105.1	=	NW_024877802.1	Primary Assembly	1859	na
S000005118	unplaced-scaffold	na	na	JAEOAB010005106.1	=	NW_024877803.1	Primary Assembly	1847	na
S000005119	unplaced-scaffold	na	na	JAEOAB010005107.1	=	NW_024877804.1	Primary Assembly	1980	na
S000005120	unplaced-scaffold	na	na	JAEOAB010005108.1	=	NW_024877805.1	Primary Assembly	1748	na
S000005121	unplaced-scaffold	na	na	JAEOAB010005109.1	=	NW_024877806.1	Primary Assembly	3810	na
S000005122	unplaced-scaffold	na	na	JAEOAB010005110.1	=	NW_024877807.1	Primary Assembly	1782	na
S000005123	unplaced-scaffold	na	na	JAEOAB010005111.1	=	NW_024877808.1	Primary Assembly	2194	na
S000005124	unplaced-scaffold	na	na	JAEOAB010005112.1	=	NW_024877809.1	Primary Assembly	1886	na
S000005125	unplaced-scaffold	na	na	JAEOAB010005113.1	=	NW_024877810.1	Primary Assembly	1906	na
S000005126	unplaced-scaffold	na	na	JAEOAB010005114.1	=	NW_024877811.1	Primary Assembly	1913	na
S000005127	unplaced-scaffold	na	na	JAEOAB010005115.1	=	NW_024877812.1	Primary Assembly	2123	na
S000005128	unplaced-scaffold	na	na	JAEOAB010005116.1	=	NW_024877813.1	Primary Assembly	1921	na
S000005129	unplaced-scaffold	na	na	JAEOAB010005117.1	=	NW_024877814.1	Primary Assembly	2111	na
S000005130	unplaced-scaffold	na	na	JAEOAB010005118.1	=	NW_024877815.1	Primary Assembly	1937	na
S000005131	unplaced-scaffold	na	na	JAEOAB010005119.1	=	NW_024877816.1	Primary Assembly	1924	na
S000005132	unplaced-scaffold	na	na	JAEOAB010005120.1	=	NW_024877817.1	Primary Assembly	2422	na
S000005133	unplaced-scaffold	na	na	JAEOAB010005121.1	=	NW_024877818.1	Primary Assembly	2023	na
S000005134	unplaced-scaffold	na	na	JAEOAB010005122.1	=	NW_024877819.1	Primary Assembly	1881	na
S000005135	unplaced-scaffold	na	na	JAEOAB010005123.1	=	NW_024877820.1	Primary Assembly	1041	na
S000005136	unplaced-scaffold	na	na	JAEOAB010005124.1	=	NW_024877821.1	Primary Assembly	8052	na
S000005137	unplaced-scaffold	na	na	JAEOAB010005125.1	=	NW_024877822.1	Primary Assembly	1887	na
S000005138	unplaced-scaffold	na	na	JAEOAB010005126.1	=	NW_024877823.1	Primary Assembly	4871	na
S000005139	unplaced-scaffold	na	na	JAEOAB010005127.1	=	NW_024877824.1	Primary Assembly	1817	na
S000005140	unplaced-scaffold	na	na	JAEOAB010005128.1	=	NW_024877825.1	Primary Assembly	2388	na
S000005141	unplaced-scaffold	na	na	JAEOAB010005129.1	=	NW_024877826.1	Primary Assembly	1289	na
S000005142	unplaced-scaffold	na	na	JAEOAB010005130.1	=	NW_024877827.1	Primary Assembly	2044	na
S000005143	unplaced-scaffold	na	na	JAEOAB010005131.1	=	NW_024877828.1	Primary Assembly	2244	na
S000005144	unplaced-scaffold	na	na	JAEOAB010005132.1	=	NW_024877829.1	Primary Assembly	1868	na
S000005145	unplaced-scaffold	na	na	JAEOAB010005133.1	=	NW_024877830.1	Primary Assembly	960	na
S000005146	unplaced-scaffold	na	na	JAEOAB010005134.1	=	NW_024877831.1	Primary Assembly	1034	na
S000005147	unplaced-scaffold	na	na	JAEOAB010005135.1	=	NW_024877832.1	Primary Assembly	1646	na
S000005148	unplaced-scaffold	na	na	JAEOAB010005136.1	=	NW_024877833.1	Primary Assembly	1802	na
S000005149	unplaced-scaffold	na	na	JAEOAB010005137.1	=	NW_024877834.1	Primary Assembly	1960	na
S000005150	unplaced-scaffold	na	na	JAEOAB010005138.1	=	NW_024877835.1	Primary Assembly	1018	na
S000005151	unplaced-scaffold	na	na	JAEOAB010005139.1	=	NW_024877836.1	Primary Assembly	949	na
S000005152	unplaced-scaffold	na	na	JAEOAB010005140.1	=	NW_024877837.1	Primary Assembly	1894	na
S000005153	unplaced-scaffold	na	na	JAEOAB010005141.1	=	NW_024877838.1	Primary Assembly	2138	na
S000005154	unplaced-scaffold	na	na	JAEOAB010005142.1	=	NW_024877839.1	Primary Assembly	1817	na
